Asylum and new asylum applicants - monthly data;;;;;;;;;;;;
Persons;;;;;;;;;;;;
Asylum applicant;;;;;;;;;;;;
geo\time;2014M12;2015M01;2015M02;2015M03;2015M04;2015M05;2015M06;2015M07;2015M08;2015M09;2015M10;2015M11
EU (28 countries);69235;66140;71000;66700;63195;71390;94205;120140;144010;166625;133245;5715
EU (27 countries);:;:;:;:;:;:;:;:;:;:;:;:
Euro area (18 countries);:;:;:;:;:;:;:;:;:;:;:;:
Euro area (17 countries);:;:;:;:;:;:;:;:;:;:;:;:
Belgium;2210;1715;1640;1755;1625;2095;2895;3600;5595;6830;6045;:
Bulgaria;1500;1070;1045;1110;1130;1345;1630;1870;1445;2075;3545;:
Czech Republic;130;125;115;195;130;110;105;100;105;125;:;:
Denmark;765;640;445;465;560;880;1090;1040;1815;2690;:;:
Germany;20375;25035;26085;32055;27175;25990;35445;37530;36420;43065;54875;:
Estonia;10;5;15;30;30;10;25;20;10;45;:;:
Ireland;170;215;200;210;265;255;335;290;330;405;:;:
Greece;955;1065;1015;915;980;1145;1120;1235;1050;1155;:;:
Spain;610;840;860;1240;1345;1065;1305;1170;1045;1425;:;:
France;5835;4440;5630;6090;5650;4745;5600;5735;5580;7370;:;:
Croatia;25;25;25;15;15;10;10;15;10;25;25;:
Italy;5660;4785;5140;5505;4590;5180;5335;8610;8825;11195;10440;:
Cyprus;140;165;140;165;165;135;150;165;125;350;:;:
Latvia;30;15;15;15;25;35;50;30;20;45;:;:
Lithuania;75;30;30;15;25;25;10;35;35;25;35;:
Luxembourg;85;90;95;105;80;95;105;115;190;380;:;:
Hungary;14075;11925;16695;4925;6690;9970;16580;31285;47095;30795;615;:
Malta;120;95;170;130;115;180;120;145;130;175;:;:
Netherlands;1460;1050;970;990;1275;2375;3085;3160;5500;6625;10160;:
Austria;4205;4030;3255;2925;4040;6395;7680;8790;8795;10780;:;:
Poland;645;610;600;630;750;680;860;1145;1375;1690;1430;:
Portugal;40;40;80;60;80;80;90;70;75;70;:;:
Romania;100;105;80;165;210;90;85;90;110;80;:;:
Slovenia;40;15;15;25;15;15;15;10;20;40;:;:
Slovakia;45;15;10;35;10;25;10;15;10;10;15;:
Finland;405;305;325;355;340;515;770;1480;2890;10815;7005;5715
Sweden;6955;4895;4050;4120;3920;5375;6625;8070;11745;24265;39060;:
United Kingdom;2575;2785;2255;2455;1960;2575;3075;4325;3665;4075;:;:
Iceland;35;15;15;10;15;5;20;20;45;60;:;:
Liechtenstein;10;5;0;10;5;15;20;10;10;35;20;:
Norway;780;605;530;535;580;1225;1145;1400;2330;4945;8665;8155
Switzerland;1515;1565;1425;1500;1375;2205;3805;3900;3900;4540;4750;:
Montenegro;:;:;:;:;:;:;:;:;:;:;:;:
Former Yugoslav Republic of Macedonia, the;:;:;:;:;:;:;:;:;:;:;:;:
Albania;:;:;:;:;:;:;:;:;:;:;:;:
Serbia;:;:;:;:;:;:;:;:;:;:;:;:
Turkey;:;:;:;:;:;:;:;:;:;:;:;:
:=not available d=definition differs (see metadata) ;;;;;;;;;;;;
;;;;;;;;;;;;
Source of Data:;Eurostat;;;;;;;;;;;
Last update:;09.12.2015;;;;;;;;;;;
Date of extraction:;13 Dec 2015 10:14:53 CET;;;;;;;;;;;
Hyperlink to the table:;http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tps00189;;;;;;;;;;;
General Disclaimer of the EC website:;http://ec.europa.eu/geninfo/legal_notices_en.htm;;;;;;;;;;;
Code:;tps00189;;;;;;;;;;;
